ds,y,temp,daylight,holiday
2018-07-20,99.0,21.1,15.77111111111111,1
2018-07-21,121.0,22.0,15.731388888888889,1
2018-07-22,89.0,21.7,15.690555555555555,1
2018-07-23,85.0,23.0,15.648888888888889,1
2018-07-24,85.0,23.7,15.606388888888889,1
2018-07-25,121.0,24.6,15.562777777777777,1
2018-07-26,100.0,24.2,15.518333333333333,1
2018-07-27,101.0,24.5,15.473333333333333,1
2018-07-28,119.0,24.9,15.4275,1
2018-07-29,96.0,24.8,15.380555555555556,1
2018-07-30,93.0,28.5,15.333333333333334,1
2018-07-31,91.0,27.7,15.285,1
2018-08-01,121.0,28.2,15.23638888888889,1
2018-08-02,71.0,27.0,15.186666666666667,1
2018-08-03,121.0,25.6,15.136666666666667,1
2018-08-04,99.0,26.2,15.085833333333333,1
2018-08-05,112.0,21.8,15.034444444444444,1
2018-08-06,77.0,21.7,14.9825,1
2018-08-07,89.0,24.8,14.930277777777778,1
2018-08-08,94.0,25.1,14.877222222222223,1
2018-08-09,94.0,26.3,14.823611111111111,1
2018-08-10,91.0,19.8,14.769722222222223,1
2018-08-11,81.0,18.1,14.715277777777779,1
2018-08-12,92.0,20.4,14.660555555555556,1
2018-08-13,92.0,23.3,14.605277777777777,1
2018-08-14,90.0,20.3,14.549722222222222,1
2018-08-15,90.0,20.2,14.493611111111111,1
2018-08-16,80.0,21.5,14.437222222222223,1
2018-08-17,91.0,23.4,14.380277777777778,1
2018-08-18,114.0,22.5,14.323333333333334,1
2018-08-19,94.0,24.7,14.265833333333333,1
2018-08-20,103.0,24.8,14.208333333333334,1
2018-08-21,95.0,21.7,14.150277777777777,1
2018-08-22,86.0,23.2,14.091944444444444,1
2018-08-23,108.0,24.8,14.033611111111112,1
2018-08-24,118.0,19.8,13.974722222222223,1
2018-08-25,90.0,15.3,13.915833333333333,1
2018-08-26,74.0,14.3,13.856666666666667,1
2018-08-27,95.0,17.1,13.797222222222222,1
2018-08-28,77.0,17.5,13.737777777777778,1
2018-08-29,84.0,19.3,13.678055555555556,1
2018-08-30,90.0,15.1,13.618055555555555,1
2018-08-31,83.0,15.3,13.557777777777778,1
2018-09-01,126.0,13.0,13.4975,0
2018-09-02,100.0,15.4,13.437222222222223,0
2018-09-03,80.0,17.5,13.376666666666667,0
2018-09-04,85.0,19.8,13.315833333333334,0
2018-09-05,95.0,19.0,13.255,0
2018-09-06,102.0,18.5,13.194166666666666,0
2018-09-07,103.0,16.8,13.133055555555556,0
2018-09-08,88.0,16.4,13.071666666666667,0
2018-09-09,84.0,16.4,13.010555555555555,0
2018-09-10,105.0,18.8,12.949166666666667,0
2018-09-11,71.0,21.0,12.8875,0
2018-09-12,111.0,21.6,12.82611111111111,0
2018-09-13,97.0,17.3,12.764444444444445,0
2018-09-14,142.0,15.4,12.702777777777778,0
2018-09-15,90.0,15.4,12.641111111111112,0
2018-09-16,80.0,15.5,12.579444444444444,0
2018-09-17,88.0,17.5,12.5175,0
2018-09-18,113.0,20.6,12.455555555555556,0
2018-09-19,96.0,21.1,12.393888888888888,0
2018-09-20,94.0,21.5,12.331944444444444,0
2018-09-21,118.0,21.0,12.27,0
2018-09-22,81.0,13.1,12.208055555555555,0
2018-09-23,113.0,13.1,12.14611111111111,0
2018-09-24,83.0,8.8,12.08388888888889,0
2018-09-25,60.0,7.4,12.021944444444445,0
2018-09-26,70.0,8.7,11.96,0
2018-09-27,114.0,14.4,11.898055555555555,0
2018-09-28,71.0,13.6,11.83611111111111,0
2018-09-29,90.0,8.6,11.774166666666666,0
2018-09-30,75.0,9.3,11.712222222222222,0
2018-10-01,82.0,7.1,11.650277777777777,0
2018-10-02,72.0,7.9,11.588333333333333,0
2018-10-03,78.0,11.2,11.526666666666667,0
2018-10-04,80.0,10.3,11.464722222222223,0
2018-10-05,80.0,10.8,11.403055555555556,0
2018-10-06,60.0,11.8,11.341388888888888,0
2018-10-07,72.0,12.7,11.279722222222222,0
2018-10-08,74.0,10.6,11.218055555555555,0
2018-10-09,73.0,9.4,11.156666666666666,0
2018-10-10,80.0,12.5,11.095277777777778,0
2018-10-11,76.0,15.3,11.033888888888889,0
2018-10-12,88.0,15.3,10.972777777777777,0
2018-10-13,122.0,14.1,10.911666666666667,0
2018-10-14,86.0,15.6,10.850833333333334,0
2018-10-15,76.0,14.9,10.79,0
2018-10-16,87.0,12.7,10.729444444444445,0
2018-10-17,81.0,11.7,10.668888888888889,0
2018-10-18,90.0,11.0,10.608611111111111,0
2018-10-19,67.0,10.4,10.548333333333334,0
2018-10-20,67.0,10.1,10.488333333333333,0
2018-10-21,48.0,8.1,10.428611111111111,0
2018-10-22,90.0,7.5,10.369166666666667,0
2018-10-23,58.0,7.5,10.309722222222222,0
2018-10-24,111.0,9.2,10.250833333333333,0
2018-10-25,70.0,11.1,10.191944444444445,0
2018-10-26,70.0,10.1,10.133611111111112,0
2018-10-27,49.0,7.5,10.075277777777778,0
2018-10-28,88.0,3.3,10.017222222222221,0
2018-10-29,121.0,5.0,9.959722222222222,1
2018-10-30,95.0,13.8,9.9025,1
2018-10-31,84.0,7.8,9.845555555555556,0
2018-11-01,71.0,7.7,9.789166666666667,0
2018-11-02,78.0,8.6,9.733055555555556,0
2018-11-03,91.0,8.7,9.677222222222222,0
2018-11-04,62.0,10.3,9.622222222222222,0
2018-11-05,49.0,9.9,9.567222222222222,0
2018-11-06,82.0,9.4,9.513055555555555,0
2018-11-07,61.0,8.6,9.459166666666667,0
2018-11-08,57.0,9.1,9.40611111111111,0
2018-11-09,77.0,8.5,9.353333333333333,0
2018-11-10,45.0,8.6,9.301388888888889,0
2018-11-11,56.0,8.5,9.25,0
2018-11-12,86.0,9.2,9.199166666666667,0
2018-11-13,60.0,8.2,9.148888888888889,0
2018-11-14,89.0,6.3,9.099722222222223,0
2018-11-15,80.0,2.4,9.050833333333333,0
2018-11-16,95.0,-0.6,9.003055555555555,0
2018-11-17,67.0,0.5,8.956111111111111,0
2018-11-18,35.0,-0.6,8.909722222222221,0
2018-11-19,78.0,-0.3,8.864444444444445,0
2018-11-20,89.0,0.1,8.82,0
2018-11-21,61.0,1.1,8.776388888888889,0
2018-11-22,64.0,1.6,8.733888888888888,0
2018-11-23,81.0,3.1,8.692222222222222,0
2018-11-24,83.0,4.8,8.651666666666667,0
2018-11-25,62.0,2.9,8.612222222222222,0
2018-11-26,62.0,2.2,8.573888888888888,0
2018-11-27,45.0,-1.8,8.536666666666667,0
2018-11-28,48.0,-3.7,8.500555555555556,0
2018-11-29,49.0,-4.4,8.465555555555556,0
2018-11-30,66.0,-2.7,8.431944444444444,0
2018-12-01,66.0,-0.2,8.399722222222222,0
2018-12-02,54.0,2.0,8.368611111111111,0
2018-12-03,79.0,9.3,8.338611111111112,0
2018-12-04,67.0,6.2,8.310277777777777,0
2018-12-05,130.0,0.8,8.283333333333333,0
2018-12-06,55.0,1.0,8.257777777777777,0
2018-12-07,67.0,9.5,8.233611111111111,0
2018-12-08,41.0,6.3,8.210833333333333,0
2018-12-09,38.0,6.6,8.189722222222223,0
2018-12-10,74.0,2.8,8.17,0
2018-12-11,87.0,1.8,8.151944444444444,0
2018-12-12,68.0,0.4,8.135555555555555,0
2018-12-13,70.0,-2.7,8.120555555555555,0
2018-12-14,72.0,-2.8,8.107222222222223,0
2018-12-15,53.0,-2.3,8.095555555555556,0
2018-12-16,29.0,-2.6,8.085555555555555,0
2018-12-17,62.0,0.6,8.077222222222222,0
2018-12-18,75.0,1.2,8.070555555555556,0
2018-12-19,82.0,-0.9,8.065555555555555,0
2018-12-20,92.0,0.6,8.062222222222223,0
2018-12-21,118.0,5.4,8.060555555555556,0
2018-12-22,52.0,8.3,8.060555555555556,1
2018-12-23,83.0,5.8,8.062222222222223,1
2018-12-24,42.0,2.0,8.065833333333334,1
2018-12-25,42.0,1.8,8.070833333333333,1
2018-12-26,30.0,2.2,8.077777777777778,1
2018-12-27,31.0,3.8,8.08611111111111,1
2018-12-28,42.0,3.6,8.096388888888889,1
2018-12-29,50.0,2.6,8.108055555555556,1
2018-12-30,33.0,3.9,8.121666666666666,1
2018-12-31,31.0,3.5,8.136666666666667,1
2019-01-01,81.0,5.1,8.153333333333334,1
2019-01-02,78.0,0.3,8.171666666666667,1
2019-01-03,60.0,-2.7,8.19138888888889,0
2019-01-04,75.0,-2.8,8.212777777777777,0
2019-01-05,36.0,3.3,8.235555555555555,0
2019-01-06,29.0,0.1,8.26,0
2019-01-07,48.0,0.9,8.285833333333333,0
2019-01-08,79.0,2.6,8.313055555555556,0
2019-01-09,79.0,0.5,8.341944444444444,0
2019-01-10,48.0,-0.9,8.371944444444445,0
2019-01-11,70.0,-3.6,8.403333333333334,0
2019-01-12,32.0,1.6,8.436111111111112,0
2019-01-13,38.0,3.3,8.47,0
2019-01-14,97.0,1.3,8.505277777777778,0
2019-01-15,52.0,1.4,8.541944444444445,0
2019-01-16,48.0,3.1,8.579444444444444,0
2019-01-17,54.0,4.7,8.618333333333334,0
2019-01-18,79.0,-0.9,8.658333333333333,0
2019-01-19,32.0,-5.4,8.699166666666667,0
2019-01-20,28.0,-4.2,8.741388888888888,0
2019-01-21,46.0,-5.1,8.784444444444444,0
