ds,y,temp,daylight
2016-07-15,269.0,13.7,15.938055555555556
2016-07-16,213.0,16.0,15.903055555555556
2016-07-17,234.0,17.8,15.866666666666667
2016-07-18,275.0,19.4,15.829444444444444
2016-07-19,301.0,20.8,15.79138888888889
2016-07-20,281.0,20.9,15.751944444444444
2016-07-21,286.0,20.8,15.711666666666666
2016-07-22,326.0,22.0,15.670555555555556
2016-07-23,258.0,22.0,15.628333333333334
2016-07-24,220.0,20.1,15.585555555555555
2016-07-25,301.0,21.9,15.541666666666666
2016-07-26,281.0,22.5,15.496944444444445
2016-07-27,292.0,20.7,15.45138888888889
2016-07-28,270.0,20.7,15.405
2016-07-29,308.0,20.1,15.357777777777779
2016-07-30,225.0,22.4,15.31
2016-07-31,256.0,18.6,15.261666666666667
2016-08-01,299.0,17.8,15.2125
2016-08-02,278.0,16.3,15.1625
2016-08-03,279.0,18.8,15.112222222222222
2016-08-04,284.0,23.4,15.061111111111112
2016-08-05,346.0,16.3,15.009444444444444
2016-08-06,215.0,17.4,14.957222222222223
2016-08-07,242.0,18.3,14.904444444444444
2016-08-08,330.0,21.4,14.85138888888889
2016-08-09,277.0,15.0,14.7975
2016-08-10,288.0,12.1,14.743333333333334
2016-08-11,257.0,12.2,14.688888888888888
2016-08-12,253.0,14.4,14.633888888888889
2016-08-13,211.0,19.4,14.578333333333333
2016-08-14,218.0,19.7,14.5225
2016-08-15,325.0,18.6,14.466388888888888
2016-08-16,234.0,16.4,14.409722222222221
2016-08-17,296.0,14.8,14.353055555555555
2016-08-18,256.0,16.5,14.295833333333333
2016-08-19,323.0,19.6,14.238333333333333
2016-08-20,248.0,21.6,14.180555555555555
2016-08-21,239.0,17.4,14.122222222222222
2016-08-22,299.0,16.2,14.063888888888888
2016-08-23,248.0,19.3,14.005277777777778
2016-08-24,268.0,20.7,13.946666666666667
2016-08-25,325.0,20.8,13.8875
2016-08-26,319.0,21.5,13.828055555555556
2016-08-27,258.0,22.0,13.768611111111111
2016-08-28,226.0,24.2,13.70888888888889
2016-08-29,312.0,20.1,13.649166666666666
2016-08-30,296.0,16.9,13.588888888888889
2016-08-31,346.0,16.4,13.528611111111111
2016-09-01,306.0,19.0,13.468333333333334
2016-09-02,292.0,20.7,13.407777777777778
2016-09-03,218.0,19.8,13.347222222222221
2016-09-04,205.0,19.8,13.286388888888888
2016-09-05,315.0,15.9,13.225555555555555
2016-09-06,291.0,15.9,13.164444444444445
2016-09-07,312.0,19.2,13.103333333333333
2016-09-08,318.0,21.2,13.041944444444445
2016-09-09,346.0,21.6,12.980833333333333
2016-09-10,238.0,22.0,12.919444444444444
2016-09-11,202.0,22.7,12.857777777777779
2016-09-12,366.0,22.8,12.796388888888888
2016-09-13,290.0,21.8,12.734722222222222
2016-09-14,323.0,21.4,12.673055555555555
2016-09-15,368.0,20.2,12.61138888888889
2016-09-16,321.0,19.7,12.549444444444445
2016-09-17,288.0,16.8,12.487777777777778
2016-09-18,255.0,14.7,12.425833333333333
2016-09-19,333.0,12.0,12.363888888888889
2016-09-20,252.0,11.4,12.301944444444445
2016-09-21,287.0,11.6,12.24
2016-09-22,332.0,11.7,12.178055555555556
2016-09-23,324.0,12.8,12.116111111111111
2016-09-24,222.0,14.1,12.054166666666667
2016-09-25,199.0,13.8,11.992222222222223
2016-09-26,310.0,12.9,11.930277777777778
2016-09-27,345.0,13.4,11.868055555555555
2016-09-28,179.0,15.3,11.806111111111111
2016-09-29,334.0,17.8,11.744166666666667
2016-09-30,315.0,18.1,11.682222222222222
2016-10-01,255.0,17.1,11.620277777777778
2016-10-02,275.0,13.4,11.558333333333334
2016-10-03,381.0,10.8,11.496666666666666
2016-10-04,352.0,9.8,11.434722222222222
2016-10-05,331.0,6.2,11.373055555555556
2016-10-06,377.0,7.0,11.311388888888889
2016-10-07,354.0,7.4,11.249722222222223
2016-10-08,234.0,7.1,11.188333333333333
2016-10-09,227.0,7.1,11.126944444444444
2016-10-10,320.0,6.0,11.065555555555555
2016-10-11,279.0,6.3,11.004166666666666
2016-10-12,298.0,6.1,10.943055555555556
2016-10-13,322.0,6.5,10.882222222222222
2016-10-14,321.0,7.4,10.821388888888889
2016-10-15,250.0,9.2,10.760555555555555
2016-10-16,219.0,11.3,10.7
2016-10-17,326.0,7.8,10.639722222222222
2016-10-18,314.0,9.6,10.579444444444444
2016-10-19,344.0,9.7,10.519444444444444
2016-10-20,357.0,8.1,10.459444444444445
2016-10-21,380.0,6.8,10.4
2016-10-22,247.0,5.2,10.340555555555556
2016-10-23,193.0,6.3,10.28138888888889
2016-10-24,345.0,8.7,10.222222222222221
2016-10-25,372.0,10.3,10.163611111111111
2016-10-26,297.0,8.6,10.105277777777777
2016-10-27,334.0,8.6,10.047222222222222
2016-10-28,185.0,9.2,9.989444444444445
2016-10-29,254.0,9.5,9.931944444444444
2016-10-30,204.0,6.8,9.874722222222223
2016-10-31,339.0,5.2,9.818055555555556
2016-11-01,318.0,8.2,9.761666666666667
2016-11-02,281.0,6.3,9.705833333333333
2016-11-03,320.0,3.2,9.650277777777777
2016-11-04,300.0,3.9,9.595277777777778
2016-11-05,224.0,3.9,9.540833333333333
2016-11-06,214.0,4.5,9.486666666666666
2016-11-07,295.0,2.8,9.433333333333334
2016-11-08,318.0,0.6,9.380277777777778
2016-11-09,258.0,0.4,9.328055555555556
2016-11-10,341.0,1.6,9.276111111111112
2016-11-11,331.0,1.8,9.225277777777778
2016-11-12,217.0,-0.8,9.174722222222222
2016-11-13,173.0,-1.9,9.125
2016-11-14,334.0,-2.3,9.07611111111111
2016-11-15,313.0,-0.9,9.027777777777779
2016-11-16,384.0,5.6,8.980277777777777
2016-11-17,224.0,8.6,8.93361111111111
2016-11-18,275.0,9.1,8.887777777777778
2016-11-19,224.0,6.1,8.842777777777778
2016-11-20,206.0,3.3,8.79888888888889
2016-11-21,352.0,3.6,8.755833333333333
2016-11-22,262.0,6.4,8.713611111111112
2016-11-23,284.0,7.0,8.6725
2016-11-24,288.0,6.4,8.6325
2016-11-25,325.0,4.7,8.59361111111111
2016-11-26,229.0,3.1,8.555833333333334
2016-11-27,180.0,3.1,8.519166666666667
2016-11-28,336.0,-1.2,8.483611111111111
2016-11-29,294.0,-2.3,8.449166666666667
2016-11-30,345.0,-1.3,8.41611111111111
2016-12-01,340.0,2.3,8.384444444444444
2016-12-02,358.0,3.1,8.35388888888889
2016-12-03,265.0,-1.7,8.324722222222222
2016-12-04,203.0,-4.1,8.296944444444444
2016-12-05,310.0,-4.7,8.270833333333334
2016-12-06,284.0,-2.8,8.245833333333334
2016-12-07,290.0,-1.9,8.2225
2016-12-08,354.0,2.8,8.200555555555555
2016-12-09,358.0,4.8,8.18
2016-12-10,280.0,6.6,8.161111111111111
2016-12-11,186.0,5.7,8.143888888888888
2016-12-12,335.0,3.8,8.128055555555555
2016-12-13,244.0,-0.2,8.113888888888889
2016-12-14,310.0,3.3,8.10138888888889
2016-12-15,300.0,0.6,8.090555555555556
2016-12-16,337.0,-0.4,8.081388888888888
2016-12-17,197.0,-2.6,8.073888888888888
2016-12-18,258.0,0.7,8.068055555555556
2016-12-19,313.0,0.9,8.063888888888888
2016-12-20,267.0,-1.8,8.061388888888889
2016-12-21,329.0,-2.8,8.060555555555556
2016-12-22,303.0,-3.3,8.061388888888889
2016-12-23,392.0,-0.6,8.063888888888888
2016-12-24,154.0,2.4,8.068333333333333
2016-12-25,131.0,5.3,8.074166666666667
2016-12-26,133.0,6.7,8.081944444444444
2016-12-27,163.0,3.7,8.091111111111111
2016-12-28,220.0,3.8,8.101944444444445
2016-12-29,244.0,0.4,8.114722222222222
2016-12-30,210.0,-3.6,8.12888888888889
2016-12-31,152.0,-5.1,8.144722222222223
2017-01-01,466.0,-6.2,8.162222222222223
2017-01-02,296.0,-2.8,8.181111111111111
2017-01-03,248.0,-0.9,8.201666666666666
2017-01-04,401.0,0.3,8.223888888888888
2017-01-05,361.0,-4.5,8.2475
2017-01-06,310.0,-9.2,8.2725
2017-01-07,205.0,-10.4,8.299166666666666
2017-01-08,178.0,-5.8,8.326944444444445
2017-01-09,261.0,-2.4,8.356388888888889
2017-01-10,267.0,-5.7,8.387222222222222
2017-01-11,324.0,-6.7,8.419166666666667
2017-01-12,313.0,1.7,8.4525
2017-01-13,389.0,1.6,8.487222222222222
2017-01-14,230.0,-0.8,8.523055555555555
2017-01-15,158.0,-1.9,8.56
2017-01-16,310.0,-3.8,8.598333333333333
2017-01-17,244.0,-4.6,8.6375
2017-01-18,298.0,-8.1,8.678055555555556
2017-01-19,295.0,-12.3,8.719722222222222
2017-01-20,300.0,-10.6,8.762222222222222
2017-01-21,199.0,-7.6,8.805833333333334
2017-01-22,185.0,-8.4,8.850277777777778
2017-01-23,273.0,-7.8,8.895833333333334
2017-01-24,261.0,-6.4,8.942222222222222
2017-01-25,220.0,-3.6,8.989444444444445
2017-01-26,251.0,-2.7,9.0375
2017-01-27,311.0,-6.8,9.086388888888889
2017-01-28,201.0,-6.7,9.136111111111111
2017-01-29,147.0,-8.7,9.186388888888889
2017-01-30,315.0,-8.8,9.2375
2017-01-31,409.0,-4.7,9.289444444444445
2017-02-01,351.0,-4.1,9.341666666666667
2017-02-02,375.0,-2.8,9.395
2017-02-03,326.0,-1.5,9.448611111111111
2017-02-04,178.0,0.4,9.502777777777778
2017-02-05,162.0,1.9,9.5575
2017-02-06,236.0,0.7,9.612777777777778
2017-02-07,202.0,-1.8,9.668611111111112
2017-02-08,225.0,-3.2,9.724722222222223
2017-02-09,238.0,-4.1,9.78138888888889
2017-02-10,280.0,-1.9,9.838611111111112
2017-02-11,168.0,0.0,9.89611111111111
2017-02-12,147.0,0.5,9.954166666666667
2017-02-13,283.0,-1.1,10.012222222222222
2017-02-14,267.0,-1.3,10.070833333333333
2017-02-15,315.0,0.9,10.13
2017-02-16,306.0,3.4,10.189166666666667
2017-02-17,370.0,3.5,10.248611111111112
2017-02-18,169.0,2.9,10.30861111111111
2017-02-19,155.0,2.7,10.368611111111111
2017-02-20,288.0,4.5,10.428888888888888
2017-02-21,227.0,7.2,10.489444444444445
2017-02-22,283.0,8.2,10.550277777777778
2017-02-23,245.0,9.7,10.61138888888889
2017-02-24,305.0,4.2,10.6725
2017-02-25,199.0,1.9,10.733888888888888
2017-02-26,148.0,5.3,10.795555555555556
2017-02-27,302.0,7.4,10.857222222222223
2017-02-28,219.0,5.5,10.919166666666667
2017-03-01,231.0,4.8,10.981111111111112
2017-03-02,255.0,6.7,11.043055555555556
2017-03-03,301.0,5.4,11.105277777777777
2017-03-04,194.0,7.7,11.1675
2017-03-05,150.0,8.1,11.23
2017-03-06,228.0,4.6,11.2925
2017-03-07,238.0,3.3,11.355
2017-03-08,246.0,3.6,11.4175
2017-03-09,269.0,6.8,11.480277777777777
2017-03-10,277.0,4.5,11.543055555555556
2017-03-11,200.0,4.6,11.605833333333333
2017-03-12,133.0,1.8,11.668611111111112
2017-03-13,236.0,2.7,11.731388888888889
2017-03-14,252.0,5.8,11.794444444444444
2017-03-15,219.0,7.3,11.857222222222223
2017-03-16,287.0,7.4,11.920277777777779
2017-03-17,308.0,8.6,11.983055555555556
2017-03-18,227.0,6.5,12.046111111111111
2017-03-19,174.0,6.7,12.108888888888888
2017-03-20,276.0,10.2,12.171944444444444
2017-03-21,247.0,9.7,12.235
2017-03-22,284.0,4.6,12.297777777777778
2017-03-23,250.0,4.7,12.360833333333334
2017-03-24,274.0,7.1,12.42361111111111
2017-03-25,196.0,6.2,12.48638888888889
2017-03-26,185.0,5.6,12.549166666666666
2017-03-27,298.0,6.7,12.611944444444445
2017-03-28,318.0,10.8,12.674722222222222
2017-03-29,310.0,13.0,12.737222222222222
2017-03-30,275.0,13.0,12.8
2017-03-31,378.0,14.0,12.8625
2017-04-01,265.0,14.2,12.924722222222222
2017-04-02,183.0,13.6,12.987222222222222
2017-04-03,280.0,10.3,13.049444444444445
2017-04-04,282.0,7.8,13.11138888888889
2017-04-05,271.0,7.8,13.17361111111111
2017-04-06,261.0,6.6,13.235277777777778
2017-04-07,359.0,7.4,13.297222222222222
2017-04-08,196.0,10.8,13.358888888888888
2017-04-09,174.0,12.6,13.420277777777779
2017-04-10,368.0,13.9,13.481666666666667
2017-04-11,301.0,7.1,13.542777777777777
2017-04-12,338.0,8.8,13.60388888888889
2017-04-13,342.0,8.5,13.664722222222222
2017-04-14,198.0,9.2,13.725277777777778
2017-04-15,211.0,9.5,13.785833333333333
2017-04-16,180.0,6.2,13.846111111111112
2017-04-17,201.0,4.1,13.90611111111111
2017-04-18,294.0,2.8,13.965833333333334
2017-04-19,279.0,1.3,14.025555555555556
2017-04-20,284.0,2.1,14.084722222222222
2017-04-21,299.0,5.5,14.143888888888888
2017-04-22,197.0,6.8,14.202777777777778
2017-04-23,174.0,5.3,14.261111111111111
2017-04-24,354.0,6.9,14.319166666666666
2017-04-25,262.0,9.7,14.377222222222223
2017-04-26,293.0,3.9,14.434722222222222
2017-04-27,291.0,5.6,14.491666666666667
2017-04-28,332.0,4.8,14.548333333333334
2017-04-29,243.0,6.3,14.604722222222222
2017-04-30,222.0,8.4,14.660833333333333
2017-05-01,211.0,10.0,14.716111111111111
2017-05-02,332.0,10.3,14.77111111111111
2017-05-03,305.0,11.3,14.825833333333334
2017-05-04,286.0,10.9,14.879722222222222
2017-05-05,319.0,9.2,14.933333333333334
2017-05-06,237.0,12.2,14.98638888888889
2017-05-07,207.0,12.3,15.038611111111111
2017-05-08,173.0,9.9,15.090555555555556
2017-05-09,299.0,4.9,15.141666666666667
2017-05-10,372.0,6.6,15.192222222222222
2017-05-11,371.0,12.6,15.242222222222223
2017-05-12,354.0,14.6,15.29138888888889
2017-05-13,250.0,15.0,15.34
2017-05-14,226.0,14.9,15.387777777777778
2017-05-15,354.0,15.1,15.434722222222222
2017-05-16,300.0,15.7,15.480833333333333
2017-05-17,343.0,17.9,15.526388888888889
2017-05-18,357.0,18.8,15.570833333333333
2017-05-19,396.0,19.6,15.614444444444445
2017-05-20,223.0,13.7,15.657222222222222
2017-05-21,217.0,14.7,15.699166666666667
2017-05-22,318.0,14.3,15.74
2017-05-23,306.0,16.6,15.779722222222222
2017-05-24,287.0,13.8,15.81861111111111
2017-05-25,323.0,12.9,15.856388888888889
2017-05-26,355.0,15.4,15.893333333333333
2017-05-27,255.0,17.6,15.928888888888888
2017-05-28,246.0,19.5,15.963333333333333
2017-05-29,324.0,22.4,15.996666666666666
2017-05-30,328.0,22.5,16.02861111111111
2017-05-31,354.0,18.7,16.059444444444445
2017-06-01,342.0,17.4,16.089166666666667
2017-06-02,376.0,18.4,16.1175
2017-06-03,271.0,20.5,16.144444444444446
2017-06-04,252.0,16.4,16.170277777777777
2017-06-05,331.0,16.2,16.194444444444443
2017-06-06,321.0,16.9,16.2175
2017-06-07,305.0,12.9,16.239166666666666
2017-06-08,329.0,15.3,16.259166666666665
2017-06-09,348.0,19.3,16.27777777777778
2017-06-10,235.0,17.3,16.295
2017-06-11,229.0,19.6,16.310833333333335
2017-06-12,337.0,22.2,16.325
2017-06-13,337.0,16.1,16.337777777777777
2017-06-14,310.0,16.9,16.349166666666665
2017-06-15,339.0,19.8,16.35861111111111
2017-06-16,377.0,17.9,16.366944444444446
2017-06-17,220.0,15.2,16.37361111111111
2017-06-18,220.0,17.9,16.378611111111113
2017-06-19,370.0,20.9,16.381944444444443
2017-06-20,315.0,23.8,16.38388888888889
2017-06-21,295.0,22.1,16.384166666666665
2017-06-22,329.0,22.2,16.383055555555554
2017-06-23,387.0,19.1,16.380277777777778
2017-06-24,275.0,21.1,16.375833333333333
2017-06-25,224.0,20.2,16.37
2017-06-26,298.0,20.5,16.3625
2017-06-27,334.0,17.1,16.35333333333333
2017-06-28,354.0,19.1,16.342777777777776
2017-06-29,418.0,16.6,16.330833333333334
2017-06-30,348.0,17.3,16.317222222222224
2017-07-01,248.0,16.9,16.302222222222223
2017-07-02,185.0,17.2,16.285555555555554
2017-07-03,291.0,17.3,16.267777777777777
2017-07-04,276.0,17.2,16.248333333333335
2017-07-05,196.0,19.2,16.2275
2017-07-06,166.0,19.8,16.205277777777777
2017-07-07,284.0,21.4,16.18166666666667
2017-07-08,173.0,22.0,16.156666666666666
2017-07-09,197.0,22.6,16.130277777777778
2017-07-10,288.0,23.7,16.102777777777778
2017-07-11,328.0,18.9,16.073888888888888
2017-07-12,305.0,19.0,16.04388888888889
2017-07-13,301.0,15.0,16.0125
2017-07-14,317.0,14.7,15.98
2017-07-15,247.0,13.7,15.946388888888889
2017-07-16,209.0,17.1,15.911666666666667
2017-07-17,286.0,19.9,15.875555555555556
2017-07-18,285.0,20.2,15.838611111111112
2017-07-19,325.0,22.9,15.800555555555556
2017-07-20,291.0,21.7,15.761666666666667
2017-07-21,331.0,21.9,15.721666666666666
2017-07-22,230.0,22.4,15.680555555555555
2017-07-23,220.0,19.7,15.63861111111111
2017-07-24,297.0,16.4,15.595833333333333
2017-07-25,293.0,15.2,15.552222222222222
2017-07-26,303.0,15.5,15.5075
2017-07-27,303.0,16.9,15.462222222222222
2017-07-28,333.0,18.3,15.41611111111111
2017-07-29,240.0,20.4,15.369166666666667
2017-07-30,213.0,23.1,15.321666666666667
2017-07-31,319.0,24.0,15.273333333333333
2017-08-01,335.0,26.3,15.224166666666667
2017-08-02,324.0,23.6,15.174444444444445
2017-08-03,293.0,22.1,15.124166666666667
2017-08-04,303.0,22.8,15.073333333333334
2017-08-05,249.0,22.2,15.021944444444445
2017-08-06,244.0,18.3,14.969722222222222
2017-08-07,360.0,17.6,14.917222222222222
2017-08-08,318.0,19.7,14.864166666666666
2017-08-09,307.0,19.9,14.810555555555556
2017-08-10,299.0,20.4,14.756666666666666
2017-08-11,431.0,15.6,14.702222222222222
2017-08-12,220.0,15.3,14.647222222222222
2017-08-13,233.0,17.4,14.591944444444444
2017-08-14,327.0,17.5,14.536111111111111
2017-08-15,321.0,20.6,14.48
2017-08-16,343.0,19.6,14.42361111111111
2017-08-17,286.0,18.1,14.366666666666667
2017-08-18,347.0,23.1,14.309444444444445
2017-08-19,202.0,17.8,14.251944444444444
2017-08-20,184.0,15.7,14.194444444444445
2017-08-21,293.0,14.9,14.136388888888888
2017-08-22,267.0,14.3,14.078055555555556
2017-08-23,296.0,14.3,14.019444444444444
2017-08-24,261.0,18.6,13.960555555555555
2017-08-25,282.0,20.1,13.901388888888889
2017-08-26,244.0,20.8,13.842222222222222
2017-08-27,203.0,20.3,13.782777777777778
2017-08-28,286.0,17.7,13.723055555555556
2017-08-29,315.0,18.5,13.663333333333334
2017-08-30,314.0,20.9,13.603333333333333
2017-08-31,341.0,20.0,13.543055555555556
2017-09-01,447.0,13.1,13.482777777777779
2017-09-02,191.0,12.7,13.422222222222222
2017-09-03,239.0,13.1,13.361666666666666
2017-09-04,307.0,13.2,13.300833333333333
