date,y
2017-05-27,255
2017-05-28,246
2017-05-29,324
2017-05-30,328
2017-05-31,354
2017-06-01,342
2017-06-02,376
2017-06-03,271
2017-06-04,252
2017-06-05,331
2017-06-06,321
2017-06-07,305
2017-06-08,329
2017-06-09,348
2017-06-10,235
2017-06-11,229
2017-06-12,337
2017-06-13,337
2017-06-14,310
2017-06-15,339
2017-06-16,377
2017-06-17,220
2017-06-18,220
2017-06-19,370
2017-06-20,315
2017-06-21,295
2017-06-22,329
2017-06-23,387
2017-06-24,275
2017-06-25,224
2017-06-26,298
2017-06-27,334
2017-06-28,354
2017-06-29,418
2017-06-30,348
2017-07-01,248
2017-07-02,185
2017-07-03,291
2017-07-04,276
2017-07-05,196
2017-07-06,166
2017-07-07,284
2017-07-08,173
2017-07-09,197
2017-07-10,288
2017-07-11,328
2017-07-12,305
2017-07-13,301
2017-07-14,317
2017-07-15,247
2017-07-16,209
2017-07-17,286
2017-07-18,285
2017-07-19,325
2017-07-20,291
2017-07-21,331
2017-07-22,230
2017-07-23,220
2017-07-24,297
2017-07-25,293
2017-07-26,303
2017-07-27,303
2017-07-28,333
2017-07-29,240
2017-07-30,213
2017-07-31,319
2017-08-01,335
2017-08-02,324
2017-08-03,293
2017-08-04,303
2017-08-05,249
2017-08-06,244
2017-08-07,360
2017-08-08,318
2017-08-09,307
2017-08-10,299
2017-08-11,431
2017-08-12,220
2017-08-13,233
2017-08-14,327
2017-08-15,321
2017-08-16,343
2017-08-17,286
2017-08-18,347
2017-08-19,202
2017-08-20,184
2017-08-21,293
2017-08-22,267
2017-08-23,296
2017-08-24,261
2017-08-25,282
2017-08-26,244
2017-08-27,203
2017-08-28,286
2017-08-29,315
2017-08-30,314
2017-08-31,341
2017-09-01,447
2017-09-02,191
2017-09-03,239
2017-09-04,307
2017-09-05,289
2017-09-06,290
2017-09-07,295
2017-09-08,327
2017-09-09,232
2017-09-10,227
2017-09-11,286
2017-09-12,291
2017-09-13,303
2017-09-14,357
2017-09-15,364
2017-09-16,280
2017-09-17,209
2017-09-18,370
2017-09-19,309
2017-09-20,330
2017-09-21,314
2017-09-22,343
2017-09-23,264
2017-09-24,245
2017-09-25,324
2017-09-26,332
2017-09-27,360
2017-09-28,222
2017-09-29,340
2017-09-30,243
2017-10-01,230
2017-10-02,367
2017-10-03,421
2017-10-04,343
2017-10-05,382
2017-10-06,357
2017-10-07,259
2017-10-08,251
2017-10-09,364
2017-10-10,350
2017-10-11,339
2017-10-12,312
2017-10-13,361
2017-10-14,286
2017-10-15,290
2017-10-16,392
2017-10-17,306
2017-10-18,332
2017-10-19,299
2017-10-20,358
2017-10-21,260
2017-10-22,234
2017-10-23,293
2017-10-24,316
2017-10-25,321
2017-10-26,327
2017-10-27,412
2017-10-28,236
2017-10-29,270
2017-10-30,354
2017-10-31,319
2017-11-01,334
2017-11-02,327
2017-11-03,319
2017-11-04,234
2017-11-05,192
2017-11-06,337
2017-11-07,265
2017-11-08,304
2017-11-09,295
2017-11-10,354
2017-11-11,255
2017-11-12,245
2017-11-13,360
2017-11-14,352
2017-11-15,340
2017-11-16,361
2017-11-17,205
2017-11-18,213
2017-11-19,195
2017-11-20,385
2017-11-21,338
2017-11-22,333
2017-11-23,381
2017-11-24,358
2017-11-25,230
2017-11-26,182
2017-11-27,305
2017-11-28,290
2017-11-29,315
2017-11-30,381
2017-12-01,385
2017-12-02,214
2017-12-03,182
2017-12-04,399
2017-12-05,310
2017-12-06,294
2017-12-07,350
2017-12-08,369
2017-12-09,273
2017-12-10,300
2017-12-11,315
2017-12-12,310
2017-12-13,329
2017-12-14,371
2017-12-15,415
2017-12-16,281
2017-12-17,303
2017-12-18,377
2017-12-19,333
2017-12-20,333
2017-12-21,391
2017-12-22,328
2017-12-23,200
2017-12-24,127
2017-12-25,135
2017-12-26,181
2017-12-27,235
2017-12-28,211
2017-12-29,206
2017-12-30,189
2017-12-31,116
2018-01-01,518
2018-01-02,222
2018-01-03,321
2018-01-04,267
2018-01-05,278
2018-01-06,173
2018-01-07,128
2018-01-08,266
2018-01-09,241
2018-01-10,277
2018-01-11,256
2018-01-12,299
2018-01-13,168
2018-01-14,153
2018-01-15,236
2018-01-16,548
2018-01-17,370
2018-01-18,324
2018-01-19,302
2018-01-20,192
2018-01-21,251
2018-01-22,289
2018-01-23,226
2018-01-24,315
2018-01-25,285
2018-01-26,278
2018-01-27,232
2018-01-28,154
2018-01-29,282
2018-01-30,256
2018-01-31,259
2018-02-01,272
2018-02-02,279
2018-02-03,184
2018-02-04,157
2018-02-05,253
2018-02-06,219
2018-02-07,368
2018-02-08,280
2018-02-09,275
2018-02-10,161
2018-02-11,157
2018-02-12,304
2018-02-13,256
2018-02-14,333
2018-02-15,276
2018-02-16,446
2018-02-17,238
2018-02-18,143
2018-02-19,277
2018-02-20,223
2018-02-21,262
2018-02-22,245
2018-02-23,261
2018-02-24,191
2018-02-25,146
2018-02-26,260
2018-02-27,237
2018-02-28,250
2018-03-01,293
2018-03-02,249
2018-03-03,175
2018-03-04,163
2018-03-05,254
2018-03-06,429
2018-03-07,297
2018-03-08,246
2018-03-09,286
2018-03-10,211
2018-03-11,177
2018-03-12,301
2018-03-13,237
2018-03-14,255
2018-03-15,262
2018-03-16,333
2018-03-17,285
2018-03-18,184
2018-03-19,259
2018-03-20,256
2018-03-21,320
2018-03-22,242
2018-03-23,307
2018-03-24,208
2018-03-25,173
2018-03-26,264
2018-03-27,294
2018-03-28,335
2018-03-29,345
2018-03-30,210
2018-03-31,158
2018-04-01,134
2018-04-02,172
2018-04-03,278
2018-04-04,284
2018-04-05,280
2018-04-06,300
2018-04-07,244
2018-04-08,201
2018-04-09,335
2018-04-10,271
2018-04-11,325
2018-04-12,295
2018-04-13,353
2018-04-14,229
2018-04-15,216
2018-04-16,327
2018-04-17,329
2018-04-18,302
2018-04-19,334
2018-04-20,368
2018-04-21,244
2018-04-22,245
2018-04-23,339
2018-04-24,314
2018-04-25,327
2018-04-26,313
2018-04-27,393
2018-04-28,269
2018-04-29,213
2018-04-30,347
2018-05-01,216
2018-05-02,317
2018-05-03,302
2018-05-04,321
2018-05-05,264
2018-05-06,209
2018-05-07,335
2018-05-08,211
2018-05-09,331
2018-05-10,343
2018-05-11,325
2018-05-12,278
2018-05-13,235
2018-05-14,342
2018-05-15,291
2018-05-16,360
2018-05-17,351
2018-05-18,332
2018-05-19,250
2018-05-20,244
2018-05-21,350
2018-05-22,315
2018-05-23,342
2018-05-24,346
2018-05-25,334
2018-05-26,264
2018-05-27,219
2018-05-28,338
2018-05-29,355
2018-05-30,331
2018-05-31,393
2018-06-01,357
2018-06-02,218
2018-06-03,205
2018-06-04,331
2018-06-05,292
2018-06-06,298
2018-06-07,298
2018-06-08,336
2018-06-09,277
2018-06-10,234
2018-06-11,331
2018-06-12,323
2018-06-13,310
2018-06-14,267
2018-06-15,363
2018-06-16,268
2018-06-17,221
2018-06-18,336
2018-06-19,293
2018-06-20,314
2018-06-21,361
2018-06-22,350
2018-06-23,232
2018-06-24,212
2018-06-25,300
2018-06-26,283
2018-06-27,301
2018-06-28,351
2018-06-29,362
2018-06-30,252
2018-07-01,225
2018-07-02,279
2018-07-03,300
2018-07-04,329
2018-07-05,234
2018-07-06,204
2018-07-07,190
2018-07-08,239
2018-07-09,317
2018-07-10,244
2018-07-11,263
2018-07-12,282
2018-07-13,294
2018-07-14,256
2018-07-15,237
2018-07-16,361
2018-07-17,306
2018-07-18,323
2018-07-19,315
2018-07-20,343
2018-07-21,251
2018-07-22,222
2018-07-23,333
2018-07-24,300
2018-07-25,341
2018-07-26,295
2018-07-27,345
2018-07-28,309
2018-07-29,247
2018-07-30,333
2018-07-31,327
2018-08-01,340
2018-08-02,340
2018-08-03,360
2018-08-04,264
2018-08-05,253
2018-08-06,334
2018-08-07,325
2018-08-08,334
2018-08-09,327
2018-08-10,349
2018-08-11,218
2018-08-12,237
2018-08-13,318
2018-08-14,267
2018-08-15,289
2018-08-16,272
2018-08-17,299
2018-08-18,282
2018-08-19,243
2018-08-20,296
2018-08-21,296
2018-08-22,309
2018-08-23,325
2018-08-24,353
2018-08-25,210
2018-08-26,208
2018-08-27,305
2018-08-28,265
2018-08-29,309
2018-08-30,333
2018-08-31,310
2018-09-01,352
2018-09-02,268
2018-09-03,374
2018-09-04,303
2018-09-05,296
2018-09-06,284
2018-09-07,376
2018-09-08,242
2018-09-09,214
2018-09-10,343
2018-09-11,270
2018-09-12,378
2018-09-13,313
2018-09-14,382
2018-09-15,252
2018-09-16,251
2018-09-17,320
2018-09-18,341
2018-09-19,318
2018-09-20,332
2018-09-21,380
2018-09-22,257
2018-09-23,271
2018-09-24,366
2018-09-25,301
2018-09-26,355
2018-09-27,381
2018-09-28,234
2018-09-29,269
2018-09-30,214
2018-10-01,319
2018-10-02,290
2018-10-03,360
2018-10-04,334
2018-10-05,385
